waterbody,lake_group,quad,site,type,sampleID,date,time,year,month,ammonia,ammonia_cen,NO2NO3,NO2NO3_cen,TN,TN_cen,orthoP,orthoP_cen,TP,TP_cen,alk,alk_cen,TN:TP,TN:TP_cen,chla,chla_cen,secchi,secchi_cen,doc,doc_cen,temp,pH,cond,do,do_pct,sample_depth,total_depth
Brooks Lake,Brooks Lake,Outlet (S),Outlet Quad,surface,VES-21-166-3,6/15/21,10:10,2021,June,0.05,TRUE,0.11,FALSE,0.3,FALSE,0.06,FALSE,0.09,FALSE,29,FALSE,3.33,FALSE,0.8,FALSE,2,FALSE,,,9.96,6.57,51.99,6.21,76.01,0.5,14.3
Brooks Lake,Brooks Lake,Outlet (B),Outlet Quad,bottom,VES-21-166-4,6/15/21,10:25,2021,June,0.15,FALSE,0.11,FALSE,0.4,FALSE,0.07,FALSE,0.1,FALSE,29,FALSE,4,FALSE,,,,,,,4.55,6.73,53.6,3.02,32.14,13,14.3
Brooks Lake,Brooks Lake,NE (S),NE Quad,surface,VES-21-166-5,6/15/21,11:05,2021,June,0.08,FALSE,0.11,FALSE,0.4,FALSE,0.06,FALSE,0.08,FALSE,28,FALSE,5,FALSE,1.2,FALSE,1.97,FALSE,,,9.51,7.16,51.59,6.21,75.1,0.5,12
Brooks Lake,Brooks Lake,NE (B),NE Quad,bottom,VES-21-166-6,6/15/21,11:15,2021,June,0.11,FALSE,0.11,FALSE,0.3,FALSE,0.07,FALSE,0.09,FALSE,28,FALSE,3.33,FALSE,,,,,,,4.82,6.76,52.7,3.96,42.64,11.5,12
Brooks Lake,Brooks Lake,Deepest (S),Deepest,surface,VES-21-166-7,6/15/21,12:15,2021,June,0.07,FALSE,0.11,FALSE,0.3,FALSE,0.06,FALSE,0.09,FALSE,28,FALSE,3.33,FALSE,1.5,FALSE,1.69,FALSE,,,8.77,7.02,51.46,6.26,74.33,0.5,16.5
Brooks Lake,Brooks Lake,Deepest (B),Deepest,bottom,VES-21-166-8,6/15/21,12:25,2021,June,0.16,FALSE,0.11,FALSE,0.4,FALSE,0.08,FALSE,0.12,FALSE,29,FALSE,3.33,FALSE,,,,,,,4.54,6.4,53.48,2.82,30.32,15.5,16.5
Brooks Lake,Brooks Lake,NW (S),NW Quad,surface,VES-21-166-9,6/15/21,13:15,2021,June,0.07,FALSE,0.11,FALSE,0.3,FALSE,0.06,FALSE,0.09,FALSE,28,FALSE,3.33,FALSE,2.3,FALSE,1.67,FALSE,,,9.37,7.16,62.17,6.23,74.96,0.5,10
Brooks Lake,Brooks Lake,NW (B),NW Quad,bottom,VES-21-166-11,6/15/21,13:30,2021,June,0.12,FALSE,0.11,FALSE,0.3,FALSE,0.06,FALSE,0.1,FALSE,28,FALSE,3,FALSE,,,,,,,5.07,6.74,52.17,4.11,44.21,10,10
Brooks Lake,Brooks Lake,SW (S),SW Quad,surface,VES-21-166-12,6/15/21,14:15,2021,June,0.08,FALSE,0.11,FALSE,0.4,FALSE,0.06,FALSE,0.09,FALSE,28,FALSE,4.44,FALSE,2.5,FALSE,1.99,FALSE,,,6.99,6.81,51.76,5.53,62.64,0.5,10
Brooks Lake,Brooks Lake,SW (B),SW Quad,bottom,VES-21-166-13,6/15/21,14:20,2021,June,0.13,FALSE,0.11,FALSE,0.3,FALSE,0.07,FALSE,0.1,FALSE,29,FALSE,3,FALSE,,,,,,,5.02,6.91,52.7,3.69,40.36,9,10
Brooks Lake,Brooks Lake,SW (S),SW Quad,surface,VES-21-201-4,7/20/21,8:15,2021,July,0.05,TRUE,0.05,TRUE,0.1,TRUE,0.01,TRUE,0.02,FALSE,31,FALSE,5,TRUE,,,3.24,FALSE,,,16.95,9.4,58.34,8.8,125.8,0.5,6.5
Brooks Lake,Brooks Lake,SW (B),SW Quad,bottom,VES-21-201-5,7/20/21,8:30,2021,July,0.05,TRUE,0.05,TRUE,0.2,FALSE,0.05,FALSE,0.07,FALSE,29,FALSE,2.86,FALSE,,,,,,,6.89,6.94,51.32,1.65,17.79,6,6.5
Brooks Lake,Brooks Lake,NW (S),NW Quad,surface,VES-21-201-6,7/20/21,9:05,2021,July,0.05,TRUE,0.05,TRUE,0.1,FALSE,0.01,TRUE,0.01,FALSE,31,FALSE,10,FALSE,,,3.66,FALSE,,,17,9.66,58.21,8.79,125.7,0.5,11
Brooks Lake,Brooks Lake,NW (B),NW Quad,bottom,VES-21-201-7,7/20/21,9:10,2021,July,0.31,FALSE,0.05,TRUE,0.5,FALSE,0.19,FALSE,0.24,FALSE,30,FALSE,2.08,FALSE,,,,,,,4.95,6.26,57.16,0.03,0.27,11,11
Brooks Lake,Brooks Lake,Deepest (S),Deepest,surface,VES-21-201-8,7/20/21,9:45,2021,July,0.05,TRUE,0.05,TRUE,0.1,TRUE,0.01,TRUE,0.01,FALSE,31,FALSE,10,TRUE,,,4.29,FALSE,,,17.06,9.7,58.01,8.84,126.71,0.5,15
Brooks Lake,Brooks Lake,Deepest (B),Deepest,bottom,VES-21-201-10,7/20/21,10:00,2021,July,0.52,FALSE,0.05,TRUE,0.7,FALSE,0.29,FALSE,0.36,FALSE,31,FALSE,1.94,FALSE,,,,,,,4.79,6.22,55.89,0.01,0.07,15,15
Brooks Lake,Brooks Lake,NE (S),NE Quad,surface,VES-21-201-11,7/20/21,10:30,2021,July,0.05,TRUE,0.05,TRUE,0.1,TRUE,0.01,TRUE,0.01,FALSE,31,FALSE,10,TRUE,,,3.94,FALSE,,,16.92,9.7,58,8.95,127.71,0.5,12
Brooks Lake,Brooks Lake,NE (B),NE Quad,bottom,VES-21-201-12,7/20/21,10:40,2021,July,0.23,FALSE,0.07,FALSE,0.4,FALSE,0.14,FALSE,0.18,FALSE,30,FALSE,2.22,FALSE,,,,,,,5.02,6.28,55.21,0.02,0.19,11,12
